Surface pressure file

Angle of attack:         0                   
Mach:                    0.8                 
Panels:                  1000                
Full reference surface:  10                  
Lift coefficient:        -5.13489e-06        
Drag coefficient:        0.00418851          
Lift to drag ratio:      -0.00122595         

*** Stat0 - y = 0.25 ***
              x              z             cp
       0.086664      -0.044332      -0.508003
       0.105118     -0.0475935      -0.545753
        0.12513        -0.0505      -0.592422
       0.146621      -0.053034      -0.641611
       0.169507     -0.0551825      -0.691163
       0.193698     -0.0569355      -0.736241
       0.219097     -0.0582875      -0.766345
       0.245605     -0.0592385      -0.772331
       0.273116     -0.0597925      -0.745392
       0.301524      -0.059959      -0.682686
       0.330715      -0.059752      -0.598969
       0.360573      -0.059188      -0.514833
       0.390982      -0.058287      -0.444762
       0.421821     -0.0570725      -0.390817
       0.452969     -0.0555695       -0.34749
       0.484302     -0.0538055      -0.311755
       0.515697      -0.051808      -0.281411
       0.547031     -0.0496045      -0.254083
       0.578179     -0.0472235      -0.228927
       0.609018      -0.044693      -0.205854
       0.639427       -0.04204       -0.18123
       0.669285      -0.039291      -0.154917
       0.698476      -0.036472      -0.126519
       0.726884      -0.033608     -0.0982148
       0.754395     -0.0307235     -0.0711027
       0.780903      -0.027842      -0.045497
       0.806302      -0.024987     -0.0210018
       0.830493      -0.022182     0.00177158
       0.853379     -0.0194505      0.0295793
        0.87487     -0.0168145      0.0585505
       0.894883      -0.014297       0.089685
       0.913336     -0.0119205       0.123513
       0.930158     -0.0097065       0.158797
       0.945283     -0.0076765       0.193754
       0.958651       -0.00585       0.228953
       0.970208     -0.0042455       0.264607
        0.97991     -0.0028805       0.302139
       0.987718       -0.00177       0.344097
       0.993601      -0.000926       0.393179
       0.997535     -0.0003575       0.453062
       0.999507      -7.15e-05       0.486845

*** Stat4 - y = 2.25 ***
              x              z             cp
       0.999507       7.15e-05       0.487149
       0.997535      0.0003575       0.453383
         0.9936       0.000926        0.39353
       0.987718        0.00177       0.344475
        0.97991      0.0028805       0.302542
       0.970208      0.0042455       0.265035
       0.958651        0.00585       0.229407
       0.945283      0.0076765       0.194237
       0.930158      0.0097065       0.159312
       0.913336      0.0119205       0.124062
       0.894883       0.014297      0.0902696
       0.874871      0.0168145      0.0591735
       0.853379      0.0194505      0.0302431
       0.830493       0.022182     0.00247874
       0.806303       0.024987     -0.0202494
       0.780903       0.027842     -0.0446968
       0.754395      0.0307235     -0.0702527
       0.726884       0.033608     -0.0973132
       0.698476       0.036472      -0.125564
       0.669285       0.039291      -0.153909
       0.639427        0.04204      -0.180169
       0.609018       0.044693      -0.204742
       0.578179      0.0472235      -0.227765
       0.547031      0.0496045      -0.252876
       0.515697       0.051808      -0.280164
       0.484302      0.0538055      -0.310478
       0.452969      0.0555695      -0.346202
       0.421821      0.0570725      -0.389544
       0.390982       0.058287      -0.443536
       0.360573       0.059188      -0.513679
       0.330715       0.059752      -0.597863
       0.301524       0.059959      -0.681534
       0.273116      0.0597925      -0.744081
       0.245605      0.0592385      -0.770824
       0.219097      0.0582875      -0.764706
       0.193698      0.0569355      -0.734577
       0.169507      0.0551825      -0.689563
       0.146621       0.053034      -0.640107
        0.12513         0.0505      -0.591013
       0.105117      0.0475935      -0.544425
       0.086664       0.044332      -0.506737
      0.0698415       0.040737      -0.414646
      0.0547165       0.036831      -0.322174
       0.041349       0.032638      -0.211858
       0.029792       0.028183      -0.100655
        0.02009      0.0234905      0.0223674
       0.012282       0.018583       0.186975
      0.0063995       0.013481       0.438292
       0.002465      0.0082025       0.794239
      0.0004935      0.0027605        1.11809
      0.0004935     -0.0027605        1.11808
       0.002465     -0.0082025       0.794207
      0.0063995      -0.013481       0.438254
       0.012282      -0.018583       0.186937
        0.02009     -0.0234905      0.0223312
       0.029792      -0.028183      -0.100691
       0.041349      -0.032638      -0.211897
      0.0547165      -0.036831       -0.32222
      0.0698415      -0.040737      -0.414705
       0.086664      -0.044332      -0.506819
       0.105118     -0.0475935      -0.544536
        0.12513        -0.0505      -0.591175
       0.146621      -0.053034      -0.640337
       0.169507     -0.0551825      -0.689865
       0.193698     -0.0569355      -0.734923
       0.219097     -0.0582875       -0.76501
       0.245605     -0.0592385      -0.770979
       0.273116     -0.0597925      -0.744022
       0.301524      -0.059959      -0.681299
       0.330715      -0.059752      -0.597572
       0.360573      -0.059188      -0.513436
       0.390982      -0.058287      -0.443376
       0.421821     -0.0570725      -0.389452
       0.452969     -0.0555695      -0.346153
       0.484302     -0.0538055      -0.310452
       0.515697      -0.051808      -0.280148
       0.547031     -0.0496045      -0.252864
       0.578179     -0.0472235      -0.227756
       0.609018      -0.044693      -0.204734
       0.639427       -0.04204      -0.180162
       0.669285      -0.039291      -0.153903
       0.698476      -0.036472      -0.125559
       0.726884      -0.033608     -0.0973085
       0.754395     -0.0307235     -0.0702487
       0.780903      -0.027842     -0.0446934
       0.806302      -0.024987     -0.0202464
       0.830493      -0.022182     0.00248141
       0.853379     -0.0194505      0.0302454
        0.87487     -0.0168145      0.0591754
       0.894883      -0.014297      0.0902712
       0.913336     -0.0119205       0.124063
       0.930158     -0.0097065       0.159313
       0.945283     -0.0076765       0.194238
       0.958651       -0.00585       0.229408
       0.970208     -0.0042455       0.265036
        0.97991     -0.0028805       0.302543
       0.987718       -0.00177       0.344475
       0.993601      -0.000926        0.39353
       0.997535     -0.0003575       0.453383
       0.999507      -7.15e-05       0.487149

*** Stat5 - y = 2.75 ***
              x              z             cp
       0.999507       7.15e-05       0.487067
       0.997535      0.0003575       0.453304
         0.9936       0.000926       0.393457
       0.987718        0.00177       0.344415
        0.97991      0.0028805       0.302501
       0.970208      0.0042455       0.265021
       0.958651        0.00585       0.229428
       0.945283      0.0076765       0.194303
       0.930158      0.0097065       0.159432
       0.913336      0.0119205       0.124248
       0.894883       0.014297      0.0905358
       0.874871      0.0168145      0.0595342
       0.853379      0.0194505      0.0307149
       0.830493       0.022182     0.00308028
       0.806303       0.024987     -0.0194976
       0.780903       0.027842     -0.0437712
       0.754395      0.0307235     -0.0691271
       0.726884       0.033608     -0.0959584
       0.698476       0.036472      -0.123948
       0.669285       0.039291      -0.151997
       0.639427        0.04204      -0.177923
       0.609018       0.044693       -0.20212
