Field variables file

Angle of attack:         0                   
Mach:                    0.8                 
Field cells:             675                 

              x              y              z            U_x            U_y            U_z           Mach          Sigma
        1.25556              3           -0.2        0.96305   -0.000196396      0.0124291        0.76696      0.0649774
            1.3              3           -0.2       0.967754   -0.000208126      0.0101155       0.771126      0.0587286
        1.34444              3           -0.2       0.971928   -0.000219153     0.00838734       0.774834      0.0526242
        1.38889              3           -0.2       0.975627   -0.000229408     0.00708758        0.77813       0.047226
        1.43333              3           -0.2       0.978927   -0.000238815     0.00611055       0.781077      0.0427365
        1.47778              3           -0.2       0.981908   -0.000247301     0.00538409       0.783743      0.0392033
      -0.477778              3      -0.133333       0.969785     0.00099264    -0.00762031       0.772917     -0.0794087
      -0.433333              3      -0.133333       0.963491    0.000971763     -0.0089115       0.767317     -0.0881554
      -0.388889              3      -0.133333       0.956315    0.000948176     -0.0107111       0.760955     -0.0995733
      -0.344444              3      -0.133333       0.947993    0.000921678       -0.01321       0.753606      -0.113719
           -0.3              3      -0.133333       0.938222    0.000892169     -0.0167196       0.745022      -0.130433
      -0.255556              3      -0.133333        0.92668    0.000859793     -0.0217642       0.734956      -0.148713
      -0.211111              3      -0.133333       0.913115    0.000825312     -0.0292523       0.723253      -0.165065
      -0.166667              3      -0.133333       0.897665    0.000791052      -0.040788       0.710176      -0.168812
      -0.122222              3      -0.133333       0.881903     0.00076336     -0.0591328        0.69741      -0.128908
     -0.0777778              3      -0.133333       0.871875    0.000758261     -0.0882334       0.690877      0.0361148
     -0.0333333              3      -0.133333       0.883562    0.000807029      -0.129622       0.705332       0.464327
      0.0111111              3      -0.133333       0.939057    0.000938719      -0.171443       0.759361        1.15445
      0.0555556              3      -0.133333        1.03888     0.00114547      -0.189491       0.851111        1.81598
            0.1              3      -0.133333        1.16637     0.00142031      -0.175472       0.968153        2.65877
       0.144444              3      -0.133333        1.28621     0.00162016      -0.133738        1.08212        2.38444
       0.188889              3      -0.133333        1.33687     0.00157416     -0.0788335        1.13029      -0.196815
       0.233333              3      -0.133333        1.30022     0.00135989     -0.0317364        1.08984       -1.96352
       0.277778              3      -0.133333         1.2523     0.00124101    -0.00651915        1.04041      -0.580263
       0.322222              3      -0.133333        1.22315     0.00109429      0.0147072        1.01124      -0.797886
       0.366667              3      -0.133333        1.19336    0.000970555      0.0314346       0.982115      -0.506653
       0.411111              3      -0.133333        1.16842    0.000845299      0.0456072       0.958248      -0.510727
       0.455556              3      -0.133333        1.14544    0.000734543      0.0566828       0.936564      -0.376178
            0.5              3      -0.133333        1.12535    0.000627905      0.0660548       0.917875      -0.360581
       0.544444              3      -0.133333        1.10627    0.000529992      0.0736064       0.900285      -0.310046
       0.588889              3      -0.133333        1.08822    0.000437109      0.0799429       0.883772      -0.301717
       0.633333              3      -0.133333        1.07019    0.000350065      0.0849719       0.867353      -0.289299
       0.677778              3      -0.133333        1.05208    0.000268024      0.0887523       0.850928      -0.286802
       0.722222              3      -0.133333        1.03362    0.000191079      0.0911467       0.834211      -0.284021
       0.766667              3      -0.133333         1.0148     0.00011905      0.0920228       0.817177      -0.282586
       0.811111              3      -0.133333       0.995551    5.17236e-05      0.0911572       0.799743      -0.281971
       0.855556              3      -0.133333       0.975839   -1.11804e-05      0.0881333       0.781851      -0.281714
            0.9              3      -0.133333       0.956002   -6.91627e-05      0.0821484       0.763753      -0.272563
       0.944444              3      -0.133333       0.937761   -0.000119395      0.0721258       0.746928      -0.229227
       0.988889              3      -0.133333       0.925233   -0.000156376      0.0579274       0.735051      -0.122415
        1.03333              3      -0.133333        0.92237   -0.000178508       0.042391       0.731802      0.0112505
        1.07778              3      -0.133333       0.927691   -0.000192364      0.0296696       0.736036      0.0880304
        1.12222              3      -0.133333       0.936273   -0.000203749      0.0209392       0.743379       0.108361
        1.16667              3      -0.133333       0.944983   -0.000214904      0.0152562       0.750971       0.103861
        1.21111              3      -0.133333       0.952758   -0.000226269      0.0115123       0.757808      0.0923024
        1.25556              3      -0.133333       0.959433    -0.00023772     0.00896488       0.763708      0.0801269
            1.3              3      -0.133333       0.965115    -0.00024901     0.00717327        0.76875      0.0692983
        1.34444              3      -0.133333       0.969972   -0.000259904     0.00587905       0.773072      0.0602483
        1.38889              3      -0.133333       0.974166   -0.000270205     0.00492749       0.776813      0.0529261
        1.43333              3      -0.133333        0.97784   -0.000279756       0.004223       0.780095      0.0471606
        1.47778              3      -0.133333       0.981113   -0.000288433     0.00370451       0.783024      0.0427919
      -0.477778              3     -0.0666667       0.968548     0.00100926    -0.00390333       0.771794     -0.0853891
      -0.433333              3     -0.0666667       0.961738    0.000986597    -0.00458174       0.765731     -0.0957868
      -0.388889              3     -0.0666667       0.953871    0.000960946    -0.00553771       0.758747       -0.10993
      -0.344444              3     -0.0666667        0.94456    0.000931969     -0.0068854       0.750511      -0.128552
           -0.3              3     -0.0666667       0.933297    0.000899329    -0.00882094       0.740588      -0.152824
      -0.255556              3     -0.0666667       0.919365    0.000862763     -0.0116994       0.728379      -0.184411
      -0.211111              3     -0.0666667       0.901726    0.000822308     -0.0162094       0.713032      -0.225344
      -0.166667              3     -0.0666667       0.878843    0.000779055     -0.0238107       0.693329      -0.276684
      -0.122222              3     -0.0666667       0.848614    0.000738014     -0.0379507       0.667775      -0.330074
     -0.0777778              3     -0.0666667       0.810308    0.000721445     -0.0676545       0.636839      -0.309197
     -0.0333333              3     -0.0666667       0.784302    0.000833638      -0.134333       0.622141       0.268265
      0.0111111              3     -0.0666667       0.864356    0.000847814      -0.233849       0.707428        2.10397
      0.0555556              3     -0.0666667        1.04978     0.00100573      -0.253115       0.873228        2.75189
            0.1              3     -0.0666667        1.22895     0.00134934      -0.206747        1.03426        3.73805
       0.144444              3     -0.0666667        1.37158     0.00160867      -0.149144        1.17369        3.04439
       0.188889              3     -0.0666667        1.42368     0.00157091     -0.0937747        1.22553      -0.398265
       0.233333              3     -0.0666667        1.35554     0.00121895     -0.0463826        1.14854       -4.19818
       0.277778              3     -0.0666667        1.28628     0.00117075     -0.0133912        1.07512     -0.0647469
       0.322222              3     -0.0666667        1.25528    0.000985955      0.0119148        1.04347        -1.3209
       0.366667              3     -0.0666667        1.21811    0.000862773       0.032152        1.00656      -0.448592
       0.411111              3     -0.0666667        1.18889    0.000706454      0.0481061       0.978283      -0.757358
       0.455556              3     -0.0666667        1.16175    0.000610389      0.0610214       0.952473      -0.368426
            0.5              3     -0.0666667        1.13918    0.000504865      0.0714395       0.931365      -0.476543
       0.544444              3     -0.0666667        1.11751    0.000427121      0.0797094       0.911281      -0.312653
       0.588889              3     -0.0666667        1.09776    0.000354369      0.0870312       0.893201      -0.356072
       0.633333              3     -0.0666667        1.07769    0.000281762      0.0927125       0.874908      -0.313111
       0.677778              3     -0.0666667        1.05771    0.000218077      0.0973534       0.856809      -0.326572
       0.722222              3     -0.0666667          1.037    0.000147488       0.100627       0.838096      -0.316227
       0.766667              3     -0.0666667        1.01576    8.75013e-05       0.102371       0.818939      -0.318423
       0.811111              3     -0.0666667       0.993728    5.84168e-06       0.102536       0.799101      -0.319585
       0.855556              3     -0.0666667       0.970159   -5.94245e-05        0.10072       0.777881      -0.335283
            0.9              3     -0.0666667       0.944267   -0.000237441      0.0957711       0.754514      -0.363141
       0.944444              3     -0.0666667       0.916438    -0.00027474      0.0845057       0.729155      -0.365453
       0.988889              3     -0.0666667       0.894838   -0.000290843      0.0628391       0.708828      -0.187871
        1.03333              3     -0.0666667       0.895414   -0.000284094      0.0371437       0.708082       0.122219
        1.07778              3     -0.0666667       0.910927   -0.000280694      0.0210746       0.721144       0.193929
        1.12222              3     -0.0666667       0.926565   -0.000284085      0.0130125       0.734711        0.16956
        1.16667              3     -0.0666667       0.939119   -0.000291587     0.00877646       0.745718       0.137792
        1.21111              3     -0.0666667       0.949002   -0.000301292     0.00633252       0.754437       0.111921
        1.25556              3     -0.0666667       0.956899   -0.000312042     0.00480067       0.761431      0.0921365
            1.3              3     -0.0666667       0.963335   -0.000323114     0.00377753       0.767148      0.0770876
        1.34444              3     -0.0666667       0.968686   -0.000334033     0.00306249       0.771914      0.0655825
        1.38889              3     -0.0666667       0.973222   -0.000344479     0.00254788       0.775961      0.0567656
